"","dyadid","year","f_a","f_b","f_c","f_d","f_e","f_f","fm_a","fm_b","fm_c","fm_d","fm_e","fm_f","m_a","m_b","m_c","m_d","m_e","m_f","mm_a","mm_b","mm_c","mm_d","mm_e","mm_f","t_a","t_b","t_c","t_d","t_e","t_f","tm_a","tm_b","tm_c","tm_d","tm_e","tm_f"
"154",13,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155",13,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,1,1,1,2
"156",13,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157",13,2010,1,1,1,1,1,3,1,1,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,13,13,13,13,13,15,13,13,13,13,13,14
"158",13,2011,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,4
"159",13,2012,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2
"160",13,2013,1,1,1,1,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,1,1,1,2
"161",14,1996,0,0,0,0,16,16,0,0,0,0,4,4,0,0,0,0,13,13,0,0,0,0,2,2,0,0,0,0,16,24,0,0,0,0,4,11
"162",14,1997,0,0,0,0,12,30,0,0,0,0,4,18,0,0,0,0,9,22,0,0,0,0,2,13,1,1,1,1,15,35,0,0,0,0,5,20
"163",14,1998,0,0,0,0,5,9,0,0,0,0,4,8,0,0,0,0,5,9,0,0,0,0,4,8,0,0,0,0,5,9,0,0,0,0,4,8
